Model,Horizon,Bias Statistic,Q Statistic
modelA,1,1.0668545619744683,2.3873125463423412
modelA,5,1.056466457688316,2.381327592018025
modelA,21,1.1099215407367982,2.2647010509769006
modelA,63,1.088270963183445,1.9619553180355065
modelB,1,1.0403143350617226,2.3818252715284642
modelB,5,1.030644697945103,2.37784923092284
modelB,21,1.0834799021655344,2.256844368185362
modelB,63,1.0634600816752302,1.9585564799822015
